"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"LUPIN","EQ","08-Jan-2018","        900.15","        906.40","        927.00","        905.00","        922.50","        923.30","        920.94","    3798830","          3498511536.80","      73889","    1983555","         52.21"
"LUPIN","EQ","09-Jan-2018","        923.30","        924.45","        932.50","        915.15","        922.00","        923.25","        925.03","    1729594","          1599933395.45","      32944","     835122","         48.28"
"LUPIN","EQ","10-Jan-2018","        923.25","        923.25","        933.00","        915.05","        926.80","        925.80","        924.72","    1583387","          1464186649.35","      37551","     423120","         26.72"
"LUPIN","EQ","11-Jan-2018","        925.80","        929.65","        934.95","        925.65","        928.70","        929.20","        930.06","     915764","           851713865.80","      26750","     303983","         33.19"
"LUPIN","EQ","12-Jan-2018","        929.20","        931.00","        937.00","        908.25","        916.40","        919.10","        923.15","    1291426","          1192174610.10","      31877","     395321","         30.61"
"LUPIN","EQ","15-Jan-2018","        919.10","        919.90","        924.70","        914.00","        914.95","        916.55","        919.26","     614597","           564971982.15","      22090","     193444","         31.47"
"LUPIN","EQ","16-Jan-2018","        916.55","        920.00","        924.10","        905.00","        908.00","        906.75","        913.56","     963028","           879782061.20","      30849","     325671","         33.82"
"LUPIN","EQ","17-Jan-2018","        906.75","        908.00","        920.50","        894.45","        918.15","        919.35","        911.98","    1479797","          1349541098.75","      39525","     750835","         50.74"
"LUPIN","EQ","18-Jan-2018","        919.35","        923.85","        927.00","        915.35","        921.00","        921.05","        922.46","    2318124","          2138379122.40","      40832","    1715597","         74.01"
"LUPIN","EQ","19-Jan-2018","        921.05","        925.00","        926.00","        906.40","        923.00","        924.10","        919.00","    1343268","          1234469499.45","      30115","     599102","         44.60"
"LUPIN","EQ","22-Jan-2018","        924.10","        925.00","        933.00","        918.55","        930.00","        930.05","        928.75","    1132432","          1051742126.65","      28304","     678915","         59.95"
"LUPIN","EQ","23-Jan-2018","        930.05","        930.10","        941.40","        926.10","        937.00","        937.35","        935.22","    1507345","          1409703497.00","      40377","     851550","         56.49"
"LUPIN","EQ","24-Jan-2018","        937.35","        937.00","        962.00","        933.35","        961.00","        959.05","        951.28","    1976531","          1880225663.30","      56285","     828743","         41.93"
"LUPIN","EQ","25-Jan-2018","        959.05","        966.00","        970.00","        945.15","        950.10","        949.65","        955.30","    2611485","          2494757185.10","      65089","    1508405","         57.76"
"LUPIN","EQ","29-Jan-2018","        949.65","        949.65","        954.00","        908.00","        909.70","        912.20","        925.78","    1520775","          1407907695.70","      47390","     675558","         44.42"
"LUPIN","EQ","30-Jan-2018","        912.20","        911.40","        913.55","        897.65","        903.00","        902.75","        904.87","     941196","           851655511.25","      27206","     223280","         23.72"
"LUPIN","EQ","31-Jan-2018","        902.75","        900.00","        901.70","        876.00","        882.80","        883.75","        885.49","    1590192","          1408102113.90","      51224","     508386","         31.97"
"LUPIN","EQ","01-Feb-2018","        883.75","        883.95","        886.25","        852.20","        860.80","        860.40","        866.36","    1834018","          1588927024.60","      70120","     796808","         43.45"
"LUPIN","EQ","02-Feb-2018","        860.40","        860.80","        878.50","        845.00","        846.00","        847.00","        860.84","    2532888","          2180421603.85","      73198","     747051","         29.49"
"LUPIN","EQ","05-Feb-2018","        847.00","        843.00","        857.50","        834.00","        851.00","        849.10","        847.40","    1407031","          1192312504.25","      35371","     511456","         36.35"
"LUPIN","EQ","06-Feb-2018","        849.10","        824.00","        834.90","        789.40","        790.05","        800.90","        812.96","    4675402","          3800913822.80","     106666","    1459873","         31.22"
"LUPIN","EQ","07-Feb-2018","        800.90","        796.00","        813.50","        781.80","        804.40","        806.05","        799.28","    5037897","          4026697372.40","     107906","     945471","         18.77"
"LUPIN","EQ","08-Feb-2018","        806.05","        809.90","        816.00","        800.00","        814.00","        812.45","        810.45","    2057573","          1667554010.20","      46556","     626555","         30.45"
"LUPIN","EQ","09-Feb-2018","        812.45","        804.00","        829.30","        799.00","        821.50","        822.15","        820.18","    2767071","          2269496381.30","      70950","    1005035","         36.32"
"LUPIN","EQ","12-Feb-2018","        822.15","        828.80","        847.00","        825.50","        841.00","        840.45","        838.62","    1781070","          1493640121.20","      39071","     504388","         28.32"
"LUPIN","EQ","14-Feb-2018","        840.45","        847.65","        847.65","        825.00","        826.00","        827.60","        832.81","    1135323","           945507423.35","      33218","     412016","         36.29"
"LUPIN","EQ","15-Feb-2018","        827.60","        830.00","        832.30","        819.00","        822.20","        822.30","        823.27","     872676","           718445477.65","      23599","     284765","         32.63"
"LUPIN","EQ","16-Feb-2018","        822.30","        823.50","        829.80","        821.20","        827.00","        825.10","        826.03","     589728","           487134798.30","      14879","     123042","         20.86"
"LUPIN","EQ","19-Feb-2018","        825.10","        825.90","        835.00","        807.00","        813.30","        814.40","        820.48","    1260233","          1033995198.25","      29210","     354544","         28.13"
"LUPIN","EQ","20-Feb-2018","        814.40","        812.00","        822.40","        810.00","        815.85","        815.80","        817.49","     740252","           605145723.05","      17920","     312175","         42.17"
"LUPIN","EQ","21-Feb-2018","        815.80","        816.80","        827.95","        811.50","        814.00","        813.95","        816.72","    1184810","           967657788.10","      31260","     422403","         35.65"
"LUPIN","EQ","22-Feb-2018","        813.95","        813.00","        815.50","        796.25","        801.10","        800.05","        807.70","    1669008","          1348058219.25","      50862","     759643","         45.51"
"LUPIN","EQ","23-Feb-2018","        800.05","        803.10","        814.80","        803.10","        809.35","        807.50","        809.44","    1754473","          1420140133.85","      42701","     821581","         46.83"
"LUPIN","EQ","26-Feb-2018","        807.50","        813.00","        824.50","        810.15","        822.00","        821.30","        817.73","    1034951","           846313623.35","      26087","     361072","         34.89"
"LUPIN","EQ","27-Feb-2018","        821.30","        824.70","        831.45","        819.15","        826.00","        826.30","        826.17","     976292","           806585411.10","      32804","     471168","         48.26"
