"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ONGC","EQ","13-Oct-2017","        169.70","        169.15","        170.35","        168.30","        169.65","        169.65","        169.41","    5190805","           879362083.60","      30727","    3374088","         65.00"
"ONGC","EQ","16-Oct-2017","        169.65","        170.45","        172.90","        170.05","        171.75","        172.05","        171.74","    5054731","           868109703.50","      42756","    3055836","         60.45"
"ONGC","EQ","17-Oct-2017","        172.05","        171.15","        172.00","        170.00","        171.50","        171.20","        170.86","    6819547","          1165161219.40","      71042","    5080927","         74.51"
"ONGC","EQ","18-Oct-2017","        171.20","        171.00","        174.95","        170.50","        174.75","        174.45","        173.82","    7869107","          1367786860.95","      58615","    4524574","         57.50"
"ONGC","EQ","19-Oct-2017","        174.45","        175.00","        175.50","        171.30","        172.15","        172.05","        172.85","    1215089","           210028503.55","       7813","     463093","         38.11"
"ONGC","EQ","23-Oct-2017","        172.05","        172.90","        173.40","        170.55","        172.00","        171.70","        171.79","    4126469","           708880480.35","      41611","    2470666","         59.87"
"ONGC","EQ","24-Oct-2017","        171.70","        171.50","        177.25","        171.05","        176.35","        176.00","        175.94","   10817861","          1903253935.60","      90415","    4704292","         43.49"
"ONGC","EQ","25-Oct-2017","        176.00","        177.95","        178.30","        175.55","        176.45","        176.85","        177.06","    6103342","          1080628709.35","      40272","    3566091","         58.43"
"ONGC","EQ","26-Oct-2017","        176.85","        176.45","        180.00","        175.90","        176.90","        177.35","        177.77","   15326252","          2724524701.85","      50669","   11311140","         73.80"
"ONGC","EQ","27-Oct-2017","        177.35","        177.90","        184.90","        177.20","        184.05","        184.00","        181.99","    9866477","          1795627321.90","      73436","    4676571","         47.40"
"ONGC","EQ","30-Oct-2017","        184.00","        188.00","        191.35","        186.00","        186.35","        186.60","        188.72","   16606395","          3134036297.85","      90033","    6163375","         37.11"
"ONGC","EQ","31-Oct-2017","        186.60","        186.40","        192.00","        184.60","        191.10","        191.10","        189.60","   10698129","          2028338218.40","     105109","    5683182","         53.12"
"ONGC","EQ","01-Nov-2017","        191.10","        192.00","        193.20","        190.10","        190.80","        191.00","        191.33","    5341109","          1021937404.35","      38421","    2804886","         52.52"
"ONGC","EQ","02-Nov-2017","        191.00","        191.00","        192.20","        187.55","        188.30","        188.00","        189.98","    4024181","           764525135.30","      38363","    2201008","         54.69"
"ONGC","EQ","03-Nov-2017","        188.00","        187.15","        192.40","        186.00","        191.65","        191.85","        189.93","    7942915","          1508608901.30","      45527","    3733021","         47.00"
"ONGC","EQ","06-Nov-2017","        191.85","        192.85","        200.45","        191.10","        199.00","        199.25","        197.58","   16363370","          3233062176.70","     114278","    6763205","         41.33"
"ONGC","EQ","07-Nov-2017","        199.25","        202.50","        205.50","        192.90","        193.80","        193.80","        198.66","   20559837","          4084425643.55","     108803","    9427622","         45.85"
"ONGC","EQ","08-Nov-2017","        193.80","        195.00","        195.70","        191.00","        193.70","        192.55","        193.28","    6275377","          1212896544.35","      42728","    2746616","         43.77"
"ONGC","EQ","09-Nov-2017","        192.55","        193.95","        195.00","        185.85","        189.35","        189.60","        189.58","    7527346","          1427046242.40","      49251","    3187504","         42.35"
"ONGC","EQ","10-Nov-2017","        189.60","        190.00","        192.65","        188.35","        191.30","        191.10","        190.72","    6035746","          1151110354.70","      49197","    2935161","         48.63"
"ONGC","EQ","13-Nov-2017","        191.10","        189.95","        190.30","        183.55","        184.25","        184.20","        185.89","    6894203","          1281530524.25","      45076","    3239034","         46.98"
"ONGC","EQ","14-Nov-2017","        184.20","        184.90","        185.10","        181.35","        182.15","        182.00","        182.46","    4663077","           850813316.75","      32712","    2400817","         51.49"
"ONGC","EQ","15-Nov-2017","        182.00","        180.60","        181.40","        175.80","        178.00","        177.55","        177.46","    7701984","          1366816383.55","      67783","    3403546","         44.19"
"ONGC","EQ","16-Nov-2017","        177.55","        182.50","        182.65","        177.10","        180.00","        179.15","        179.13","    7245718","          1297891275.35","      73411","    2953942","         40.77"
"ONGC","EQ","17-Nov-2017","        179.15","        182.40","        183.50","        177.20","        177.70","        177.60","        179.18","    6851616","          1227646016.85","      63514","    2953752","         43.11"
"ONGC","EQ","20-Nov-2017","        177.60","        178.70","        180.45","        177.70","        180.00","        180.00","        179.07","    4004561","           717111546.55","      29960","    1922421","         48.01"
