"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RELIANCE","EQ","06-Aug-2018","       1176.95","       1176.70","       1196.00","       1175.35","       1194.45","       1192.60","       1188.86","    4016418","          4774942204.95","      96976","    1410496","         35.12"
"RELIANCE","EQ","07-Aug-2018","       1192.60","       1194.90","       1201.40","       1177.00","       1184.70","       1184.20","       1186.35","    4059460","          4815955315.35","     104725","    1487015","         36.63"
"RELIANCE","EQ","08-Aug-2018","       1184.20","       1185.00","       1222.50","       1185.00","       1220.80","       1217.70","       1204.70","    7912437","          9532113811.55","     166500","    2923306","         36.95"
"RELIANCE","EQ","09-Aug-2018","       1217.70","       1221.50","       1231.70","       1212.00","       1218.50","       1217.95","       1221.41","    6846928","          8362923499.20","     135398","    2921760","         42.67"
"RELIANCE","EQ","10-Aug-2018","       1217.95","       1211.00","       1215.00","       1202.30","       1204.00","       1204.20","       1207.99","    3581210","          4326050846.15","      97265","    1461098","         40.80"
"RELIANCE","EQ","13-Aug-2018","       1204.20","       1197.55","       1199.95","       1182.70","       1189.50","       1187.70","       1191.83","    4668159","          5563673323.05","     134889","    2275557","         48.75"
"RELIANCE","EQ","14-Aug-2018","       1187.70","       1190.00","       1217.20","       1184.30","       1211.90","       1210.60","       1203.27","    5299536","          6376786745.35","     107665","    1807539","         34.11"
"RELIANCE","EQ","16-Aug-2018","       1210.60","       1203.25","       1216.00","       1195.50","       1200.00","       1200.80","       1204.69","    5982490","          7207048818.10","     134533","    2599428","         43.45"
"RELIANCE","EQ","17-Aug-2018","       1200.80","       1209.00","       1215.40","       1200.05","       1202.65","       1203.75","       1208.89","    3830992","          4631245213.60","      82052","    1369817","         35.76"
"RELIANCE","EQ","20-Aug-2018","       1203.75","       1207.90","       1236.80","       1207.65","       1235.15","       1234.90","       1227.54","    7607036","          9337924805.85","     187210","    3757248","         49.39"
"RELIANCE","EQ","21-Aug-2018","       1234.90","       1237.25","       1251.50","       1227.00","       1246.70","       1247.20","       1244.28","    7279641","          9057941731.65","     145104","    3175536","         43.62"
"RELIANCE","EQ","23-Aug-2018","       1247.20","       1246.30","       1274.00","       1238.40","       1266.90","       1269.45","       1259.12","    7968123","         10032803693.25","     170316","    3223808","         40.46"
"RELIANCE","EQ","24-Aug-2018","       1269.45","       1265.25","       1279.95","       1260.05","       1277.00","       1277.50","       1271.78","    6652005","          8459873414.65","     127779","    2081971","         31.30"
