"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SAIL","EQ","08-Jan-2018","         97.40","         97.90","        101.45","         97.90","         98.90","         98.80","         99.43","   15714606","          1562475987.15","      37218","    5039897","         32.07"
"SAIL","EQ","09-Jan-2018","         98.80","         99.55","         99.90","         97.50","         98.10","         97.95","         98.60","   10358156","          1021262391.95","      26406","    3119325","         30.11"
"SAIL","EQ","10-Jan-2018","         97.95","         98.50","         99.35","         96.60","         98.60","         98.45","         98.07","    9336838","           915708318.75","      24105","    1579037","         16.91"
"SAIL","EQ","11-Jan-2018","         98.45","         98.40","         99.25","         97.85","         98.40","         98.50","         98.54","    7042701","           694005367.70","      16620","    1296315","         18.41"
"SAIL","EQ","12-Jan-2018","         98.50","         98.60","         99.70","         97.65","         99.00","         98.65","         98.66","    9484352","           935773093.25","      24909","    1655732","         17.46"
"SAIL","EQ","15-Jan-2018","         98.65","         99.15","        101.10","         98.65","         99.95","        100.35","        100.28","   18763230","          1881532755.05","      40433","    7518387","         40.07"
"SAIL","EQ","16-Jan-2018","        100.35","        100.45","        100.65","         92.50","         94.70","         94.30","         96.24","   18073465","          1739316954.80","      35477","    6999930","         38.73"
"SAIL","EQ","17-Jan-2018","         94.30","         94.55","         97.05","         91.35","         96.95","         96.50","         94.85","   11888951","          1127699524.20","      31014","    2496824","         21.00"
"SAIL","EQ","18-Jan-2018","         96.50","         96.85","         97.45","         91.65","         92.30","         92.30","         94.08","   16245856","          1528346313.95","      46010","    5198107","         32.00"
"SAIL","EQ","19-Jan-2018","         92.30","         91.90","         94.15","         90.90","         93.25","         93.30","         92.60","   12912880","          1195710263.30","      30723","    3731419","         28.90"
"SAIL","EQ","22-Jan-2018","         93.30","         93.35","         93.45","         91.60","         93.00","         92.45","         92.33","    4967870","           458673063.15","      13435","    1200998","         24.18"
"SAIL","EQ","23-Jan-2018","         92.45","         92.65","         98.40","         92.65","         96.90","         96.85","         97.03","   22670874","          2199656863.90","      58504","    5426368","         23.94"
"SAIL","EQ","24-Jan-2018","         96.85","         95.80","         96.40","         93.85","         93.95","         94.15","         94.88","    7800926","           740142849.50","      18903","    2176759","         27.90"
"SAIL","EQ","25-Jan-2018","         94.15","         94.10","         96.35","         93.30","         94.10","         93.95","         94.38","   19732610","          1862338403.35","      27140","    9245050","         46.85"
"SAIL","EQ","29-Jan-2018","         93.95","         94.30","         95.45","         91.40","         91.75","         91.85","         93.64","    7819606","           732257893.40","      22786","    2372041","         30.33"
"SAIL","EQ","30-Jan-2018","         91.85","         91.75","         92.95","         90.75","         91.00","         91.10","         91.60","    8525052","           780896288.20","      18684","    3140679","         36.84"
"SAIL","EQ","31-Jan-2018","         91.10","         90.45","         91.35","         87.60","         89.05","         88.90","         89.28","   13643595","          1218066697.60","      33986","    4967299","         36.41"
"SAIL","EQ","01-Feb-2018","         88.90","         89.50","         90.95","         86.10","         89.30","         89.35","         89.06","   13593547","          1210702417.35","      28243","    3875909","         28.51"
"SAIL","EQ","02-Feb-2018","         89.35","         87.80","         87.80","         82.00","         83.00","         83.60","         85.05","   13852493","          1178188318.05","      35093","    3051552","         22.03"
"SAIL","EQ","05-Feb-2018","         83.60","         81.00","         86.00","         78.65","         85.60","         84.80","         82.56","   11446302","           945017656.70","      39305","    2066730","         18.06"
"SAIL","EQ","06-Feb-2018","         84.80","         78.00","         84.75","         77.05","         83.95","         83.95","         82.08","   20127433","          1652098505.55","      51688","    6147945","         30.55"
"SAIL","EQ","07-Feb-2018","         83.95","         85.00","         86.20","         82.45","         82.65","         82.85","         83.88","    9171593","           769320304.15","      25977","    2125815","         23.18"
"SAIL","EQ","08-Feb-2018","         82.85","         83.40","         86.75","         83.20","         86.75","         86.00","         85.15","   10365411","           882571981.85","      32531","    1211836","         11.69"
"SAIL","EQ","09-Feb-2018","         86.00","         84.55","         94.45","         84.10","         93.80","         93.95","         91.53","   44334778","          4057943516.15","     119035","    5072834","         11.44"
"SAIL","EQ","12-Feb-2018","         93.95","         95.35","         98.30","         94.90","         95.80","         95.35","         96.41","   28901756","          2786381474.75","      75489","    7600581","         26.30"
"SAIL","EQ","14-Feb-2018","         95.35","         96.70","         97.65","         93.30","         93.55","         93.55","         94.97","   17516122","          1663458646.50","      37818","    6414360","         36.62"
"SAIL","EQ","15-Feb-2018","         93.55","         94.25","         96.10","         91.45","         92.35","         92.30","         93.84","   15883683","          1490494435.25","      41258","    4552829","         28.66"
"SAIL","EQ","16-Feb-2018","         92.30","         93.00","         93.80","         87.85","         87.90","         88.40","         89.92","   14791218","          1330075964.20","      40945","    4134825","         27.95"
"SAIL","EQ","19-Feb-2018","         88.40","         88.50","         88.70","         85.55","         87.20","         87.30","         86.72","   10594319","           918757634.40","      36522","    2862727","         27.02"
"SAIL","EQ","20-Feb-2018","         87.30","         87.95","         89.35","         86.25","         86.30","         86.50","         87.46","   13426339","          1174287769.20","      32011","    4635755","         34.53"
"SAIL","EQ","21-Feb-2018","         86.50","         86.90","         87.45","         83.35","         84.00","         84.15","         84.49","   11068826","           935154468.15","      32841","    2616995","         23.64"
