"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"YESBANK","EQ","08-Jan-2018","        332.85","        336.00","        341.30","        331.30","        333.15","        333.60","        336.48","   12747890","          4289450275.45","     132566","    4972063","         39.00"
"YESBANK","EQ","09-Jan-2018","        333.60","        334.90","        342.80","        327.55","        341.50","        341.35","        337.37","   13282560","          4481132099.20","     163402","    6059005","         45.62"
"YESBANK","EQ","10-Jan-2018","        341.35","        341.50","        342.35","        335.45","        338.75","        339.80","        339.01","   10385044","          3520586288.60","      97750","    5161519","         49.70"
"YESBANK","EQ","11-Jan-2018","        339.80","        339.00","        344.25","        335.30","        342.35","        343.15","        340.85","    8266266","          2817559600.45","      78837","    3766252","         45.56"
"YESBANK","EQ","12-Jan-2018","        343.15","        344.10","        344.70","        337.55","        340.05","        340.90","        340.71","    5688676","          1938169153.10","      62206","    2061848","         36.24"
"YESBANK","EQ","15-Jan-2018","        340.90","        341.90","        343.70","        335.10","        336.15","        336.00","        338.87","    7142164","          2420281048.50","      62966","    2612713","         36.58"
"YESBANK","EQ","16-Jan-2018","        336.00","        336.00","        338.75","        328.00","        334.65","        334.85","        334.19","    7296505","          2438438049.75","      76996","    2411672","         33.05"
"YESBANK","EQ","17-Jan-2018","        334.85","        335.10","        343.50","        331.40","        342.40","        342.40","        337.63","    7985222","          2696017702.30","     102872","    3310146","         41.45"
"YESBANK","EQ","18-Jan-2018","        342.40","        350.00","        356.90","        332.35","        346.35","        341.20","        348.88","   35465087","         12373151524.65","     237760","   12816508","         36.14"
"YESBANK","EQ","19-Jan-2018","        341.20","        347.50","        352.25","        339.10","        348.75","        349.35","        345.88","   21425789","          7410763849.10","     190091","    6397846","         29.86"
"YESBANK","EQ","22-Jan-2018","        349.35","        349.95","        358.25","        348.75","        357.80","        355.35","        353.47","   13456538","          4756539788.20","     137787","    7156508","         53.18"
"YESBANK","EQ","23-Jan-2018","        355.35","        359.85","        360.40","        352.30","        359.45","        359.55","        357.15","   10196645","          3641713782.75","     124739","    5058943","         49.61"
"YESBANK","EQ","24-Jan-2018","        359.55","        357.00","        366.30","        356.00","        364.70","        364.80","        362.69","   11258771","          4083464782.55","     111438","    5020092","         44.59"
"YESBANK","EQ","25-Jan-2018","        364.80","        364.50","        364.50","        355.65","        361.20","        361.60","        359.57","    8963188","          3222876010.45","     124349","    3893311","         43.44"
"YESBANK","EQ","29-Jan-2018","        361.60","        361.20","        363.70","        355.55","        357.30","        358.00","        359.49","    7931235","          2851222628.60","      96485","    4412486","         55.63"
"YESBANK","EQ","30-Jan-2018","        358.00","        358.00","        360.80","        351.85","        352.55","        353.35","        356.40","    7890491","          2812162289.70","      73786","    4704171","         59.62"
"YESBANK","EQ","31-Jan-2018","        353.35","        353.00","        356.55","        350.45","        354.90","        354.40","        353.64","    8527044","          3015470711.40","      98580","    5316226","         62.35"
"YESBANK","EQ","01-Feb-2018","        354.40","        355.00","        367.25","        352.65","        360.30","        359.90","        358.83","   15217926","          5460702472.50","     136702","    8300118","         54.54"
"YESBANK","EQ","02-Feb-2018","        359.90","        354.20","        356.00","        341.80","        347.00","        349.05","        349.98","   16298953","          5704302703.30","     129822","    8261795","         50.69"
"YESBANK","EQ","05-Feb-2018","        349.05","        340.00","        349.00","        333.60","        343.95","        343.60","        341.15","   13407059","          4573823851.80","     168697","    6994078","         52.17"
"YESBANK","EQ","06-Feb-2018","        343.60","        325.00","        342.90","        324.00","        339.40","        338.75","        333.88","   12557261","          4192601731.25","     133041","    5327248","         42.42"
"YESBANK","EQ","07-Feb-2018","        338.75","        344.00","        344.00","        330.60","        330.95","        332.90","        336.13","   11681640","          3926547827.40","     107528","    5670477","         48.54"
"YESBANK","EQ","08-Feb-2018","        332.90","        332.90","        340.35","        331.50","        336.10","        335.00","        337.12","    7785799","          2624779486.65","      76611","    3091891","         39.71"
"YESBANK","EQ","09-Feb-2018","        335.00","        330.00","        331.45","        324.00","        325.10","        325.55","        327.21","    9395513","          3074263768.70","      95052","    4567395","         48.61"
"YESBANK","EQ","12-Feb-2018","        325.55","        326.60","        337.20","        326.60","        334.70","        335.40","        332.54","   12049356","          4006933613.90","      93637","    5914529","         49.09"
"YESBANK","EQ","14-Feb-2018","        335.40","        336.00","        337.85","        318.95","        319.35","        320.35","        325.93","   13548524","          4415901234.55","     160539","    7159162","         52.84"
"YESBANK","EQ","15-Feb-2018","        320.35","        321.20","        328.80","        317.70","        321.00","        319.80","        324.52","   15482667","          5024413605.60","     162179","    6302014","         40.70"
"YESBANK","EQ","16-Feb-2018","        319.80","        324.00","        325.00","        309.65","        312.00","        311.80","        314.19","   18611798","          5847560584.85","     200889","    7109403","         38.20"
"YESBANK","EQ","19-Feb-2018","        311.80","        313.85","        315.00","        307.55","        314.35","        312.05","        310.61","    9311433","          2892209806.05","      99100","    2205486","         23.69"
"YESBANK","EQ","20-Feb-2018","        312.05","        314.35","        316.10","        307.50","        308.05","        308.70","        312.42","   11389041","          3558162373.55","     102896","    4993873","         43.85"
"YESBANK","EQ","21-Feb-2018","        308.70","        311.00","        313.90","        304.50","        313.20","        312.35","        308.98","   13342678","          4122679200.40","     134615","    6802383","         50.98"
"YESBANK","EQ","22-Feb-2018","        312.35","        311.90","        316.90","        308.15","        315.55","        316.10","        314.78","   14787238","          4654706376.35","     141358","    6790126","         45.92"
"YESBANK","EQ","23-Feb-2018","        316.10","        316.45","        326.00","        316.45","        323.40","        323.45","        323.08","   11399732","          3683079046.05","     102159","    5070100","         44.48"
